               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.019645,             0.06071,           0.0095171,             0.57368,             0.70727,             0.52083,              0.4002,            0.021171,             0.06735,             0.01333,            0.001981,            0.001981,            0.001981
                  83,            0.020033,            0.060898,           0.0096079,             0.57817,             0.69563,              0.5211,             0.40131,            0.021115,            0.067474,            0.012708,            0.001882,            0.001882,            0.001882
                  84,            0.019899,            0.057393,           0.0097125,             0.58228,             0.68735,             0.52027,             0.40169,            0.021121,            0.069684,            0.012788,            0.001783,            0.001783,            0.001783
                  85,            0.019515,            0.057308,           0.0093354,             0.56807,             0.69024,             0.51924,             0.40203,            0.020639,            0.068146,            0.013014,            0.001684,            0.001684,            0.001684
                  86,            0.019507,            0.060773,           0.0087558,             0.54994,             0.68171,             0.51911,             0.39916,            0.020738,            0.066818,              0.0132,            0.001585,            0.001585,            0.001585
                  87,            0.019279,            0.057477,           0.0091403,              0.5499,             0.70965,             0.51466,             0.39856,            0.021025,            0.067394,             0.01319,            0.001486,            0.001486,            0.001486
                  88,            0.019369,            0.057406,           0.0090489,             0.56457,             0.70827,             0.52592,             0.40763,            0.020877,            0.066588,            0.012864,            0.001387,            0.001387,            0.001387
                  89,            0.018969,            0.056771,           0.0092454,             0.57317,               0.712,             0.52478,             0.40713,            0.020519,            0.066374,             0.01267,            0.001288,            0.001288,            0.001288
                  90,            0.018826,            0.055642,           0.0090661,             0.57602,             0.71019,             0.53463,              0.4131,            0.020444,            0.065815,            0.013038,            0.001189,            0.001189,            0.001189
                  91,            0.019011,             0.05832,           0.0087194,             0.57719,             0.70926,             0.52527,             0.40292,             0.02041,            0.066343,            0.013006,             0.00109,             0.00109,             0.00109
                  92,            0.018709,            0.055415,           0.0092327,             0.57668,             0.70897,             0.51304,             0.39619,            0.020373,            0.067243,            0.013053,            0.000991,            0.000991,            0.000991
                  93,            0.018865,            0.055921,           0.0088736,             0.56512,             0.70862,              0.5119,             0.39475,            0.020553,            0.067563,            0.013713,            0.000892,            0.000892,            0.000892
                  94,            0.018511,            0.056174,           0.0091248,             0.54448,             0.70104,             0.50604,              0.3879,            0.020632,            0.068095,            0.013612,            0.000793,            0.000793,            0.000793
                  95,            0.018689,            0.056728,           0.0086274,             0.56062,             0.69933,             0.50481,             0.38752,            0.020596,            0.067055,            0.013538,            0.000694,            0.000694,            0.000694
                  96,            0.018569,            0.057113,           0.0089709,               0.561,             0.69833,             0.50537,             0.38865,            0.020575,            0.066806,            0.013533,            0.000595,            0.000595,            0.000595
                  97,            0.018107,            0.057223,           0.0088857,             0.56601,             0.70458,             0.50511,             0.39137,            0.020559,            0.066813,             0.01348,            0.000496,            0.000496,            0.000496
                  98,            0.018453,            0.057228,           0.0089771,             0.56721,             0.70469,             0.50683,             0.39247,            0.020494,            0.066617,            0.013383,            0.000397,            0.000397,            0.000397
                  99,            0.018332,            0.058055,           0.0082269,             0.56212,             0.70084,             0.50593,             0.38956,            0.020442,            0.066188,            0.013296,            0.000298,            0.000298,            0.000298
